Departure,Arrival,Date,Departure,Arrival,Flight
,,,Hour,Hour,Count
,,,,,
,,,,,
SAN,SFO,5/2/13,12,13,2
SAN,SFO,5/2/13,13,15,1
SAN,SFO,5/2/13,14,16,1
SAN,SFO,5/2/13,15,16,2
SAN,SFO,5/2/13,16,18,2
SAN,SFO,5/2/13,17,19,1
SAN,SFO,5/2/13,18,19,1
SAN,SFO,5/2/13,18,20,1
SAN,SFO,5/2/13,19,21,2
SAN,SFO,5/2/13,20,21,1
SAN,SFO,5/2/13,20,22,1
SAT,SFO,5/2/13,6,8,1
SAT,SFO,5/2/13,15,17,1
SBA,SFO,5/2/13,6,7,1
SBA,SFO,5/2/13,8,9,1
SBA,SFO,5/2/13,9,10,1
SBA,SFO,5/2/13,10,11,1
SBA,SFO,5/2/13,12,13,1
SBA,SFO,5/2/13,14,15,1
SBA,SFO,5/2/13,15,17,1
SBA,SFO,5/2/13,17,19,1
SBA,SFO,5/2/13,19,20,1
SBA,SFO,5/2/13,20,22,1
SBD,SFO,5/2/13,12,13,1
SBP,SFO,5/2/13,6,7,1
SBP,SFO,5/2/13,9,11,1
SBP,SFO,5/2/13,14,15,1
SBP,SFO,5/2/13,17,18,1
SBP,SFO,5/2/13,20,21,1
SEA,SFO,5/2/13,5,7,1
SEA,SFO,5/2/13,6,8,2
SEA,SFO,5/2/13,7,9,2
SEA,SFO,5/2/13,8,11,1
SEA,SFO,5/2/13,9,12,2
SEA,SFO,5/2/13,11,13,2
SEA,SFO,5/2/13,13,15,1
SEA,SFO,5/2/13,13,16,1
SEA,SFO,5/2/13,14,16,1
SEA,SFO,5/2/13,17,19,1
SEA,SFO,5/2/13,18,20,2
SEA,SFO,5/2/13,19,21,1
SEA,SFO,5/2/13,20,22,1
SEA,SFO,5/2/13,20,23,1
SLC,SFO,5/2/13,6,7,1
SLC,SFO,5/2/13,8,9,1
SLC,SFO,5/2/13,11,12,2
SLC,SFO,5/2/13,15,16,1
SLC,SFO,5/2/13,16,18,1
SLC,SFO,5/2/13,17,18,1
SLC,SFO,5/2/13,21,22,1
SMF,SFO,5/2/13,5,6,1
SMF,SFO,5/2/13,8,9,1
SMF,SFO,5/2/13,10,11,1
SMF,SFO,5/2/13,12,13,1
SMF,SFO,5/2/13,14,15,1
SMF,SFO,5/2/13,15,15,1
SMF,SFO,5/2/13,17,17,1
SMF,SFO,5/2/13,20,21,1
SMO,SFO,5/2/13,16,17,1
SNA,SFO,5/2/13,6,8,1
SNA,SFO,5/2/13,7,9,1
SNA,SFO,5/2/13,8,9,1
SNA,SFO,5/2/13,10,11,1
SNA,SFO,5/2/13,11,13,1
SNA,SFO,5/2/13,12,14,1
SNA,SFO,5/2/13,13,15,2
SNA,SFO,5/2/13,16,18,1
SNA,SFO,5/2/13,17,19,2
SNA,SFO,5/2/13,18,19,1
SNA,SFO,5/2/13,19,20,1
SNA,SFO,5/2/13,20,21,1
SNA,SFO,5/2/13,21,22,1
STL,SFO,5/2/13,18,21,1
TEB,SFO,5/2/13,16,19,1
TRK,SFO,5/2/13,13,14,1
TUS,SFO,5/2/13,6,8,1
CYEG,SFO,5/2/13,7,9,1
